# Word list for a specific language.
# In this file, line starts with # (comments) and empty lines are ignored
# Word list is organize like this :	
# $GRAMMAR$ : describe how extract word and frequency from following list. 
# The grammar affect following lines, this way its possible to have several grammar in the file. 
# When a new grammar is found, it replace the actual grammar for the rest of list, until meet an other $GRAMMAR$ (or reach end of document)

# Default $GRAMMAR$ definition : 
$GRAMMAR$	<frequency>[SPACE]<word>
# Where :
# 		<frequency> is the place for the integer for frequency
# 		[SPACE] one or more "space characters" (Space, tabulation)
# 		<word> is the place for the "word"

# *****************************************
# ***   French word initial word list   ***
# *****************************************

$GRAMMAR$	<word>|<frequency>
Afrique|1
Amati|1
Amériques|1
Angélus|1
Antarctique|1
Arctique|1
Ascension|1
Asie|1
Australie|1
Ave|1
CEG|1
Cosmos|1
César|1
Eurasie|1
Europe|1
Galaxie|1
KO|1
Monde|1
Moyen Age|1
Nativité|1
Noël|1
OK|1
Océanie|1
Orémus|1
Pater|1
RER|1
SAV|1
Stradivarius|1
Terre|1
Univers|1
VTT|1
X|1
a contrario|1
abaca|1
abaissable|1
abaissant|1
abaisse-langue|1
abaissement|1
abaisser|1
abaissé|1
abajoue|1
abandon|1
abandonne|1
abandonner|1
abandonné|1
abaque|1
abasourdi|1
abasourdie|1
abasourdir|1
abasourdissant|1
abasourdissement|1
abats|1
abattable|1
abattage|1
abattant|1
abattement|1
abattis|1
abattoir|1
abattre|1
abattu|1
abbatial|1
abbatiale|1
abbaye|1
abbesse|1
abbé|1
abc|1
abcès|1
abdication|1
abdiquer|1
abdomen|1
abdominal|1
abducteur|1
abduction|1
abeille|1
abeiller|1
abeillier|1
aber|1
aberrance|1
aberrant|1
aberration|1
abhorrer|1
abiotique|1
abiétacée|1
abiétinée|1
abject|1
abjecte|1
abjection|1
abjuration|1
abjurer|1
ablation|1
ableret|1
ablier|1
ablution|1
abnégation|1
aboi|1
aboiement|1
abolir|1
abolissant|1
abolit|1
abolition|1
abominable|1
abominablement|1
abomination|1
abominer|1
abondamment|1
abondance|1
abondant|1
abondante|1
abonder|1
abonnement|1
abonnir|1
abonné|1
abord|1
abordable|1
abordage|1
abordant|1
aborde|1
aborder|1
abords|1
abordé|1
aborigène|1
abortif|1
abouchement|1
aboucher|1
aboulie|1
aboulique|1
about|1
aboutage|1
aboutement|1
abouter|1
abouti|1
aboutir|1
aboutissant|1
aboutissement|1
aboyer|1
aboyeur|1
abracadabrant|1
abraser|1
abrasif|1
abrasion|1
abreuver|1
abreuvoir|1
abri|1
abribus|1
abriter|1
abrité|1
abritée|1
abrivent|1
abrogatif|1
abrogation|1
abrogatoire|1
abrogeable|1
abroger|1
abrupt|1
abruptement|1
abruti|1
abrutie|1
abrutir|1
abrutissant|1
abrutissement|1
abrègement|1
abréaction|1
abréger|1
abrégé|1
abréviation|1
abscons|1
absence|1
absent|1
absenter|1
absinthe|1
absolu|1
absolue|1
absoluité|1
absolument|1
absolution|1
absolutisme|1
absolutiste|1
absorbable|1
absorbant|1
absorber|1
absorbé|1
absorption|1
absoudre|1
absous|1
absoute|1
abstenir|1
abstention|1
abstinence|1
abstinent|1
abstraction|1
abstraire|1
abstrait|1
abstraitement|1
abstrus|1
abstème|1
absurde|1
absurdement|1
absurdité|1
abus|1
abusant|1
abuse|1
abuser|1
abusif|1
abusifs|1
abusive|1
abusivement|1
abusé|1
abyssal|1
abysse|1
abyssin|1
abyssine|1
abyssinien|1
abâtardir|1
abâtardissement|1
abécédaire|1
abêti|1
abêtir|1
abêtissant|1
abêtissement|1
abîmant|1
abîme|1
abîmer|1
abîmé|1
acabit|1
acacia|1
acadien|1
académicien|1
académie|1
académique|1
académiquement|1
académisme|1
acajou|1
acajou à pommes|1
acalèphe|1
acanthe|1
acare|1
acariasis|1
acaride|1
acaridien|1
acarien|1
acariose|1
acariâtre|1
acarus|1
accablant|1
accablement|1
accabler|1
accablé|1
accalmie|1
accaparant|1
accaparement|1
accaparer|1
accapareur|1
accaparé|1
accent|1
accentuation|1
accentuer|1
accentué|1
accentuée|1
acceptabilité|1
acceptable|1
acceptant|1
acceptation|1
accepter|1
acception|1
accepté|1
accessibilité|1
accessible|1
accession|1
accessit|1
accessoire|1
accessoirement|1
accident|1
accidentel|1
accidentelle|1
accidentellement|1
accidenter|1
accidenté|1
accidentés|1
accise|1
acclamation|1
acclamer|1
acclimatable|1
acclimatation|1
acclimatement|1
acclimater|1
acclimaté|1
accointance|1
accointances|1
accointer|1
accolade|1
accolades|1
accolement|1
accoler|1
accolé|1
accolée|1
accommodant|1
accommodation|1
accommodement|1
accommoder|1
accommodé|1
accompagnant|1
accompagnateur|1
accompagnatrice|1
accompagnement|1
accompagner|1
accompagné|1
accompli|1
accomplir|1
accomplis|1
accomplissaient|1
accomplissait|1
accomplissant|1
accomplissement|1
accomplissiez|1
accomplissions|1
accon|1
acconage|1
acconier|1
accord|1
accordable|1
accordailles|1
accorder|1
accordeur|1
accordé|1
accordée|1
accordéon|1
accore|1
accort|1
accorte|1
accostable|1
accostage|1
accoster|1
accosté|1
accotement|1
accoter|1
accotoir|1
accouchement|1
accoucher|1
accoucheur|1
accoucheuse|1
accouchée|1
accouder|1
accoudoir|1
accouplement|1
accoupler|1
accourcir|1
accourir|1
accourse|1
accoutrement|1
accoutrer|1
accoutré|1
accoutumance|1
accoutumer|1
accoutumé|1
accoutumée|1
accroc|1
accrochage|1
accroche|1
accroche-coeur|1
accroche-pied|1
accrocher|1
accrocheur|1
accrocheuse|1
accroché|1
accroire|1
accroissement|1
accroupi|1
accroupir|1
accroître|1
accru|1
accrue|1
accréditation|1
accréditement|1
accréditer|1
accréditeur|1
accrédité|1
accréditée|1
accrétion|1
accu|1
accueil|1
accueillant|1
accueillante|1
accueilli|1
accueillie|1
accueillir|1
acculer|1
acculturation|1
acculé|1
accumulateur|1
accumulation|1
accumuler|1
accumulé|1
accusable|1
accusant|1
accusateur|1
accusation|1
accuser|1
accusé|1
accès|1
accéder|1
accédé|1
accélère|1
accélérateur|1
accélération|1
accélérer|1
accéléré|1
acerbe|1
acerbité|1
achalandage|1
achalander|1
achalandé|1
achaler|1
achards|1
acharnement|1
acharner|1
acharné|1
achat|1
ache|1
acheminement|1
acheminer|1
acheminé|1
acheminée|1
achetable|1
acheter|1
acheteur|1
acheteuse|1
acheté|1
achever|1
achevé|1
achevée|1
achigan|1
achondroplasie|1
achoppement|1
achopper|1
achoppée|1
achromatopsie|1
achromie|1
achromique|1
achèvement|1
aciculaire|1
acide|1
acide nitrique|1
acidifiant|1
acidifier|1
acidimètre|1
acidité|1
acidose|1
acidulant|1
aciduler|1
acidulé|1
acier|1
acinésie|1
aciérie|1
acmé|1
acné|1
acnéique|1
acolyte|1
acompte|1
acon|1
aconage|1
aconier|1
aconit|1
acoquinement|1
acoquiner|1
acoumètre|1
acoumétrie|1
acouphène|1
acoustique|1
acquiescement|1
acquiescer|1
acquis|1
acquise|1
acquisition|1
acquit|1
acquittable|1
acquittement|1
acquitter|1
acquitté|1
acquérant|1
acquéreur|1
acquéreuse|1
acquérir|1
acquêt|1
acra|1
acrat|1
acrimonie|1
acrimonieuse|1
acrimonieux|1
acrobate|1
acrobatie|1
acrobatique|1
acronyme|1
acrotère|1
acte|1
actes|1
acteur|1
actif|1
